ptVxlArySize	 100.000000	100.000000	48.000000
vxlVoxel	480000
m_isoIsoUParaBtoT	119	
1.978986	-0.673671	-0.332473
1.978986	-0.631566	-0.332473
1.978986	-0.631566	-0.290368
1.978986	-0.589460	-0.290368
1.978986	-0.547354	-0.290368
1.978986	-0.547354	-0.248262
1.978986	-0.505249	-0.248262
1.978986	-0.463143	-0.248262
1.978986	-0.421037	-0.206156
1.978986	-0.378932	-0.206156
1.978986	-0.336826	-0.206156
1.978986	-0.336826	-0.164051
1.978986	-0.294720	-0.164051
1.978986	-0.252614	-0.164051
1.978986	-0.252614	-0.121945
1.978986	-0.210509	-0.121945
1.978986	-0.168403	-0.121945
1.978986	-0.126297	-0.079839
1.978986	-0.084192	-0.079839
1.978986	-0.042086	-0.037734
1.978986	0.000020	-0.037734
1.978986	0.042125	-0.037734
1.978986	0.042125	0.004372
1.978986	0.084231	0.004372
1.978986	0.126337	0.004372
1.978986	0.126337	0.046478
1.978986	0.168442	0.046478
1.978986	0.210548	0.046478
1.978986	0.252654	0.088583
1.978986	0.294759	0.088583
1.978986	0.336865	0.088583
1.978986	0.336865	0.130689
1.978986	0.378971	0.130689
1.978986	0.421076	0.130689
1.978986	0.463182	0.172795
1.978986	0.505288	0.172795
1.978986	0.547393	0.172795
1.978986	0.547393	0.214900
1.978986	0.589499	0.214900
1.978986	0.631605	0.214900
1.978986	0.631605	0.257006
1.978986	0.673710	0.257006
1.978986	0.715816	0.257006
1.978986	0.757922	0.299112
1.978986	0.800027	0.299112
1.978986	0.842133	0.299112
1.978986	0.842133	0.341217
1.978986	0.884239	0.341217
1.978986	0.926344	0.341217
1.978986	0.926344	0.383323
1.978986	0.968450	0.383323
1.978986	1.010556	0.383323
1.978986	1.052661	0.425429
1.978986	1.094767	0.425429
1.978986	1.136873	0.467534
1.978986	1.178978	0.467534
1.978986	1.221084	0.467534
1.978986	1.221084	0.509640
1.978986	1.263190	0.509640
1.978986	1.305295	0.509640
1.978986	1.305295	0.551746
1.978986	1.347401	0.551746
1.978986	1.389507	0.551746
1.978986	1.431613	0.593851
1.978986	1.473718	0.593851
1.978986	1.515824	0.593851
1.978986	1.515824	0.635957
1.978986	1.557930	0.635957
1.978986	1.600035	0.635957
1.978986	1.600035	0.678063
1.978986	1.642141	0.678063
1.978986	1.684247	0.678063
1.978986	1.726352	0.720168
1.978986	1.768458	0.720168
1.978986	1.810564	0.762274
1.978986	1.852669	0.762274
1.978986	1.894775	0.762274
1.978986	1.894775	0.804380
1.978986	1.936881	0.804380
1.978986	1.978986	0.804380
1.978986	1.978986	0.846486

